elapsed_seconds,distance_m,speed_mps
1088.0,7193.93,2.524
1089.0,7197.45,2.524
1090.0,7201.0,2.524
1091.0,7204.98,2.524
1092.0,7208.86,2.524
1093.0,7212.34,2.525
1094.0,7216.05,2.525
1095.0,7220.02,2.525
1096.0,7224.14,2.525
1097.0,7228.45,2.525
1098.0,7232.23,2.526
1099.0,7236.46,2.526
1100.0,7241.19,2.526
1101.0,7245.63,2.526
1102.0,7250.32,2.526
1103.0,7254.74,2.527
1104.0,7259.5,2.527
1105.0,7264.61,2.527
1106.0,7269.92,2.527
1107.0,7275.17,2.527
1108.0,7280.1,2.527
1109.0,7285.25,2.528
1110.0,7290.4,2.528
1111.0,7295.25,2.528
1112.0,7300.07,2.528
1113.0,7305.22,2.528
1114.0,7309.93,2.528
1115.0,7314.87,2.527
1116.0,7320.33,2.527
1117.0,7324.99,2.527
1118.0,7330.03,2.526
1119.0,7335.51,2.526
1120.0,7340.94,2.526
1121.0,7346.34,2.526
1122.0,7351.62,2.525
1123.0,7357.29,2.525
1124.0,7363.05,2.524
1125.0,7368.66,2.524
1126.0,7373.75,2.524
1127.0,7379.3,2.524
1128.0,7385.28,2.523
1129.0,7390.64,2.523
1130.0,7396.41,2.523
1131.0,7402.54,2.523
1132.0,7408.75,2.523
1133.0,7414.61,2.523
1134.0,7420.5,2.523
1135.0,7426.58,2.522
1136.0,7432.44,2.522
1137.0,7438.14,2.522
1138.0,7443.68,2.522
1139.0,7449.13,2.522
1140.0,7454.32,2.522
1141.0,7459.34,2.522
1142.0,7464.59,2.522
1143.0,7469.43,2.522
1144.0,7474.0,2.522
1145.0,7478.14,2.523
1146.0,7481.49,2.523
1147.0,7484.32,2.523
1148.0,7487.0,2.523
1149.0,7489.55,2.523
1150.0,7491.9,2.522
1151.0,7493.44,2.522
1152.0,7495.07,2.522
1153.0,7496.73,2.522
1154.0,7497.15,2.521
1155.0,7498.13,2.521
1156.0,7498.46,2.523
1161.0,7498.46,2.522
1162.0,7500.16,2.522
1163.0,7501.96,2.522
1164.0,7505.04,2.522
1165.0,7508.26,2.523
1166.0,7511.87,2.523
1167.0,7515.21,2.523
1168.0,7518.82,2.523
1169.0,7523.04,2.523
1170.0,7527.17,2.523
1171.0,7532.03,2.523
1172.0,7536.31,2.523
1173.0,7539.34,2.524
1174.0,7541.79,2.524
1175.0,7543.57,2.525
1176.0,7545.9,2.526
1177.0,7548.58,2.526
1178.0,7552.42,2.526
1179.0,7556.48,2.526
1180.0,7559.84,2.526
1181.0,7563.43,2.526
1216.0,7826.9,2.526
1217.0,7829.02,2.525
1218.0,7838.31,2.525
1219.0,7847.04,2.524
1220.0,7854.14,2.523
1221.0,7861.38,2.523
1222.0,7867.95,2.524
1223.0,7874.35,2.525
1224.0,7880.64,2.526
1225.0,7887.26,2.527
1226.0,7893.9,2.528
1227.0,7899.92,2.529
1228.0,7906.52,2.53
1229.0,7912.68,2.531
1230.0,7919.38,2.532
1231.0,7925.1,2.533
1232.0,7931.05,2.535
1233.0,7936.95,2.536
1234.0,7943.02,2.537
1235.0,7949.24,2.537
1236.0,7955.07,2.538
1237.0,7960.75,2.539
1238.0,7966.59,2.54
1239.0,7972.24,2.541
1240.0,7977.85,2.542
1241.0,7983.0,2.543
1242.0,7988.18,2.544
1243.0,7993.54,2.544
1244.0,7998.84,2.545
1245.0,8004.08,2.546
1246.0,8008.63,2.546
1247.0,8013.55,2.547
1248.0,8018.61,2.547
1249.0,8023.67,2.548
1250.0,8028.75,2.548
1251.0,8034.05,2.548
1252.0,8039.37,2.547
1253.0,8045.24,2.547
1254.0,8051.14,2.547
1255.0,8057.06,2.547
1256.0,8063.11,2.546
1257.0,8068.96,2.546
1258.0,8074.86,2.546
1259.0,8080.8,2.545
1260.0,8086.9,2.545
1261.0,8093.05,2.544
1262.0,8099.04,2.544
1263.0,8105.17,2.543
1264.0,8111.51,2.543
1265.0,8117.55,2.542
1266.0,8124.03,2.541
1267.0,8130.57,2.541
1268.0,8137.41,2.54
1269.0,8144.4,2.539
1270.0,8151.45,2.539
1271.0,8158.89,2.538
1272.0,8166.3,2.538
1273.0,8173.63,2.537
1274.0,8180.77,2.536
1275.0,8188.13,2.535
1276.0,8194.96,2.535
1277.0,8201.82,2.534
1278.0,8208.39,2.535
1279.0,8214.77,2.535
1280.0,8220.94,2.536
1281.0,8226.98,2.536
1282.0,8232.97,2.536
1283.0,8238.94,2.537
1284.0,8244.86,2.537
1285.0,8251.1,2.537
1286.0,8257.21,2.537
1287.0,8263.16,2.536
1288.0,8269.4,2.536
1289.0,8275.86,2.535
1290.0,8282.43,2.534
1291.0,8289.16,2.533
1292.0,8296.01,2.532
1293.0,8302.92,2.531
1294.0,8310.05,2.53
1295.0,8317.33,2.529
1296.0,8324.22,2.528
1297.0,8330.96,2.528
1298.0,8337.94,2.527
1299.0,8344.62,2.527
1300.0,8351.23,2.527
1301.0,8357.81,2.528
1302.0,8364.11,2.528
1303.0,8369.94,2.529
1304.0,8375.74,2.53
1305.0,8381.68,2.531
1306.0,8387.24,2.532
1307.0,8392.74,2.532
1308.0,8397.95,2.533
1309.0,8402.96,2.534
1310.0,8407.98,2.535
1311.0,8412.66,2.536
1312.0,8417.27,2.537
1313.0,8421.77,2.538
1314.0,8426.42,2.539
1315.0,8431.29,2.54
1316.0,8436.02,2.541
1317.0,8440.57,2.542
1318.0,8445.19,2.542
1319.0,8449.92,2.543
1320.0,8454.85,2.543
1321.0,8459.89,2.543
1322.0,8464.56,2.543
1323.0,8469.78,2.542
1324.0,8475.35,2.542
1325.0,8481.69,2.541
1326.0,8487.86,2.54
1327.0,8494.52,2.539
1328.0,8501.77,2.538
1329.0,8509.24,2.538
1330.0,8515.8,2.537
1331.0,8521.65,2.536
1332.0,8526.62,2.535
1333.0,8532.32,2.534
1334.0,8538.31,2.533
1335.0,8544.55,2.532
1336.0,8551.27,2.531
1337.0,8558.19,2.53
1338.0,8565.1,2.529
1339.0,8571.83,2.528
1340.0,8578.16,2.529
1341.0,8584.7,2.529
1342.0,8591.08,2.529
1343.0,8597.45,2.53
1344.0,8603.99,2.531
1345.0,8609.29,2.531
1346.0,8614.77,2.531
1347.0,8620.33,2.532
1348.0,8625.38,2.532
1349.0,8630.37,2.533
1350.0,8635.27,2.533
1351.0,8640.26,2.534
1352.0,8644.62,2.534
1353.0,8649.29,2.534
1354.0,8653.94,2.534
1355.0,8658.83,2.534
1356.0,8664.0,2.534
1357.0,8668.78,2.534
1358.0,8673.57,2.533
1359.0,8678.88,2.533
1360.0,8684.36,2.533
1361.0,8689.97,2.532
1362.0,8695.88,2.532
1363.0,8701.84,2.532
1364.0,8707.72,2.532
1365.0,8714.08,2.531
1366.0,8720.79,2.532
1367.0,8727.2,2.532
1368.0,8733.84,2.532
1369.0,8740.84,2.532
1370.0,8747.63,2.532
1371.0,8754.45,2.532
1372.0,8761.19,2.532
1373.0,8768.42,2.532
1374.0,8775.6,2.532
1375.0,8782.59,2.532
1376.0,8789.58,2.532
1377.0,8796.47,2.532
1378.0,8803.44,2.533
1379.0,8810.26,2.533
1380.0,8816.96,2.533
1381.0,8824.42,2.533
1382.0,8831.52,2.534
1383.0,8838.66,2.534
1384.0,8845.56,2.534
1385.0,8851.93,2.535
1386.0,8858.59,2.535
1387.0,8864.9,2.536
1388.0,8871.12,2.536
1389.0,8876.85,2.537
1390.0,8881.98,2.538
1391.0,8886.72,2.538
1392.0,8891.41,2.539
1393.0,8895.99,2.539
1394.0,8900.23,2.539
1395.0,8904.53,2.54
1396.0,8908.85,2.54
1397.0,8912.77,2.541
1398.0,8917.24,2.541
1399.0,8921.69,2.542
1400.0,8926.24,2.542
1401.0,8930.62,2.542
1402.0,8934.92,2.542
1403.0,8939.89,2.542
1404.0,8944.94,2.542
1405.0,8950.15,2.541
1406.0,8955.27,2.541
1407.0,8960.63,2.54
1408.0,8966.59,2.54
1409.0,8972.07,2.539
1410.0,8977.89,2.538
1411.0,8984.17,2.538
1412.0,8990.98,2.537
1413.0,8998.01,2.537
1414.0,9004.21,2.536
1415.0,9010.45,2.536
1416.0,9016.74,2.535
1417.0,9023.67,2.534
1418.0,9030.55,2.534
1419.0,9037.12,2.533
1420.0,9043.92,2.532
1421.0,9049.98,2.531
1422.0,9055.98,2.531
1423.0,9061.89,2.531
1424.0,9067.77,2.531
1425.0,9072.94,2.531
1426.0,9078.08,2.531
1427.0,9083.4,2.532
1428.0,9088.16,2.532
1429.0,9093.1,2.532
