elapsed_seconds,distance_m,speed_mps
230.0,1444.0,2.535
231.0,1452.17,2.535
232.0,1460.25,2.534
233.0,1468.78,2.533
234.0,1477.09,2.533
235.0,1485.38,2.533
236.0,1494.2,2.532
237.0,1502.99,2.531
238.0,1511.49,2.531
239.0,1520.19,2.53
240.0,1529.17,2.53
241.0,1538.5,2.529
242.0,1547.51,2.528
243.0,1556.44,2.528
244.0,1565.73,2.527
245.0,1574.73,2.527
246.0,1583.57,2.527
247.0,1592.45,2.527
248.0,1601.16,2.527
249.0,1609.55,2.527
250.0,1617.84,2.527
251.0,1626.03,2.527
252.0,1634.28,2.527
253.0,1642.15,2.527
254.0,1650.09,2.526
255.0,1658.02,2.526
256.0,1665.75,2.526
257.0,1673.92,2.526
258.0,1682.09,2.525
259.0,1690.24,2.525
260.0,1697.97,2.526
261.0,1705.91,2.526
262.0,1713.79,2.526
263.0,1722.04,2.526
264.0,1729.89,2.526
265.0,1738.19,2.526
266.0,1746.39,2.527
267.0,1754.51,2.527
268.0,1762.21,2.527
269.0,1769.9,2.526
270.0,1777.01,2.527
271.0,1783.06,2.527
272.0,1787.86,2.527
273.0,1791.25,2.527
274.0,1795.72,2.527
275.0,1800.44,2.527
276.0,1805.2,2.527
277.0,1810.46,2.527
278.0,1815.73,2.527
279.0,1821.42,2.527
280.0,1827.09,2.527
281.0,1833.34,2.527
282.0,1839.8,2.527
283.0,1846.07,2.527
284.0,1852.28,2.527
285.0,1858.88,2.526
286.0,1865.69,2.526
287.0,1872.39,2.526
288.0,1878.71,2.526
289.0,1885.54,2.526
290.0,1892.42,2.526
291.0,1899.17,2.526
292.0,1905.82,2.526
293.0,1912.59,2.526
294.0,1920.02,2.525
295.0,1926.88,2.525
296.0,1933.79,2.525
297.0,1941.3,2.525
298.0,1948.97,2.525
299.0,1956.51,2.525
300.0,1964.09,2.525
301.0,1972.23,2.526
302.0,1980.06,2.526
303.0,1987.8,2.526
304.0,1995.6,2.525
305.0,2003.32,2.525
306.0,2011.28,2.525
307.0,2019.17,2.525
308.0,2027.25,2.525
309.0,2035.07,2.525
310.0,2043.37,2.525
311.0,2051.55,2.525
312.0,2059.82,2.525
313.0,2067.98,2.525
314.0,2075.48,2.526
315.0,2083.15,2.526
316.0,2091.23,2.526
317.0,2099.82,2.526
318.0,2108.13,2.526
319.0,2116.04,2.526
320.0,2123.83,2.526
321.0,2132.14,2.526
322.0,2140.57,2.526
323.0,2148.77,2.526
324.0,2157.21,2.526
325.0,2165.48,2.526
326.0,2173.62,2.526
327.0,2181.45,2.526
328.0,2189.43,2.526
329.0,2197.87,2.526
330.0,2206.17,2.526
331.0,2214.26,2.526
332.0,2222.26,2.526
333.0,2230.45,2.526
334.0,2238.34,2.526
335.0,2246.55,2.526
336.0,2254.38,2.525
337.0,2262.76,2.525
338.0,2270.82,2.525
339.0,2278.61,2.525
340.0,2286.82,2.525
341.0,2294.93,2.525
342.0,2303.19,2.525
343.0,2310.68,2.525
344.0,2318.73,2.525
345.0,2326.84,2.525
346.0,2334.95,2.525
347.0,2343.35,2.525
348.0,2351.5,2.525
349.0,2359.38,2.525
350.0,2367.01,2.525
351.0,2375.27,2.525
352.0,2383.54,2.525
353.0,2391.62,2.525
354.0,2399.89,2.525
355.0,2407.54,2.525
356.0,2415.55,2.525
357.0,2423.47,2.524
358.0,2431.46,2.524
359.0,2439.42,2.524
360.0,2446.88,2.524
361.0,2454.84,2.524
362.0,2462.85,2.524
363.0,2471.33,2.524
364.0,2479.81,2.524
365.0,2488.09,2.524
366.0,2496.36,2.524
367.0,2504.73,2.524
368.0,2513.01,2.525
369.0,2521.31,2.525
370.0,2529.5,2.525
371.0,2537.51,2.525
372.0,2545.71,2.525
373.0,2553.89,2.525
374.0,2561.71,2.525
375.0,2569.45,2.525
376.0,2577.58,2.525
377.0,2585.31,2.525
378.0,2593.66,2.525
379.0,2601.67,2.525
380.0,2609.61,2.524
381.0,2617.9,2.524
382.0,2625.73,2.524
383.0,2634.4,2.524
384.0,2642.84,2.524
385.0,2650.96,2.524
386.0,2658.61,2.524
387.0,2666.53,2.523
388.0,2674.79,2.523
389.0,2682.99,2.523
390.0,2691.49,2.523
391.0,2699.21,2.523
392.0,2707.45,2.523
393.0,2715.9,2.523
394.0,2724.12,2.523
395.0,2731.98,2.523
396.0,2739.85,2.523
397.0,2747.84,2.523
398.0,2756.04,2.523
399.0,2764.04,2.523
400.0,2772.17,2.524
401.0,2780.39,2.524
402.0,2788.64,2.524
403.0,2796.5,2.524
404.0,2804.62,2.524
405.0,2812.9,2.524
406.0,2821.07,2.524
407.0,2829.11,2.524
408.0,2837.24,2.524
409.0,2845.66,2.524
410.0,2854.27,2.523
411.0,2863.26,2.523
412.0,2871.96,2.523
413.0,2879.96,2.523
414.0,2888.21,2.523
415.0,2895.81,2.523
416.0,2903.69,2.522
417.0,2911.37,2.522
418.0,2918.6,2.522
419.0,2924.92,2.522
420.0,2930.0,2.522
421.0,2935.21,2.522
422.0,2940.98,2.522
423.0,2947.09,2.522
424.0,2953.37,2.523
425.0,2960.1,2.523
426.0,2966.35,2.523
427.0,2973.58,2.522
428.0,2980.12,2.522
429.0,2986.81,2.522
430.0,2993.4,2.522
431.0,3000.72,2.522
432.0,3007.87,2.522
433.0,3014.85,2.522
434.0,3022.19,2.523
435.0,3029.5,2.523
436.0,3036.75,2.523
437.0,3044.03,2.524
438.0,3051.22,2.524
439.0,3058.7,2.525
440.0,3066.31,2.525
441.0,3073.8,2.526
442.0,3081.32,2.526
443.0,3088.95,2.526
444.0,3096.65,2.526
445.0,3103.93,2.526
446.0,3111.46,2.526
447.0,3119.19,2.526
448.0,3127.07,2.526
449.0,3135.03,2.527
450.0,3143.02,2.527
451.0,3150.86,2.527
452.0,3158.12,2.527
453.0,3166.2,2.528
454.0,3174.21,2.528
455.0,3181.76,2.528
456.0,3189.51,2.528
457.0,3197.73,2.529
458.0,3205.87,2.529
459.0,3214.42,2.529
460.0,3223.01,2.529
461.0,3231.14,2.529
462.0,3239.89,2.529
463.0,3248.49,2.529
464.0,3256.98,2.528
465.0,3265.72,2.528
466.0,3274.14,2.527
467.0,3283.06,2.527
468.0,3291.76,2.526
469.0,3300.71,2.526
470.0,3310.07,2.525
471.0,3318.9,2.525
472.0,3327.78,2.524
473.0,3336.88,2.524
474.0,3345.94,2.524
475.0,3354.8,2.523
476.0,3363.69,2.523
477.0,3372.69,2.522
478.0,3381.65,2.522
479.0,3390.94,2.522
480.0,3400.4,2.522
481.0,3409.8,2.522
482.0,3419.52,2.522
483.0,3428.81,2.522
484.0,3438.53,2.521
485.0,3447.67,2.521
486.0,3457.15,2.521
487.0,3466.4,2.521
488.0,3475.78,2.521
489.0,3485.43,2.52
490.0,3494.08,2.52
491.0,3503.52,2.52
492.0,3512.94,2.52
493.0,3522.39,2.52
494.0,3531.48,2.521
495.0,3540.3,2.521
496.0,3549.95,2.521
497.0,3559.7,2.521
498.0,3569.15,2.521
499.0,3578.95,2.521
500.0,3588.37,2.52
501.0,3597.73,2.52
502.0,3606.95,2.519
503.0,3616.45,2.519
504.0,3626.05,2.518
505.0,3635.73,2.518
506.0,3645.11,2.518
507.0,3654.97,2.518
508.0,3664.21,2.518
509.0,3673.66,2.518
510.0,3683.16,2.518
511.0,3692.44,2.518
512.0,3701.89,2.519
513.0,3711.18,2.519
514.0,3720.2,2.519
515.0,3729.28,2.519
516.0,3738.32,2.519
517.0,3747.32,2.518
518.0,3756.66,2.518
519.0,3766.16,2.518
520.0,3774.85,2.518
521.0,3783.93,2.517
522.0,3793.26,2.517
523.0,3802.37,2.517
524.0,3811.44,2.517
525.0,3820.66,2.517
526.0,3829.94,2.517
527.0,3838.73,2.517
528.0,3848.17,2.517
529.0,3857.18,2.517
530.0,3866.42,2.517
531.0,3875.82,2.517
532.0,3885.14,2.517
533.0,3894.36,2.517
534.0,3903.66,2.517
535.0,3912.91,2.516
536.0,3921.85,2.516
537.0,3930.76,2.516
538.0,3939.52,2.516
539.0,3948.39,2.516
540.0,3957.07,2.516
541.0,3966.37,2.516
542.0,3975.27,2.515
543.0,3984.11,2.515
544.0,3992.88,2.515
545.0,4001.94,2.515
546.0,4011.05,2.515
547.0,4019.54,2.515
548.0,4028.23,2.515
549.0,4036.87,2.515
550.0,4045.31,2.515
551.0,4054.1,2.516
552.0,4062.86,2.516
553.0,4072.21,2.516
