target_distance_m,left_index,right_index,ratio,latitude,longitude,altitude_m,speed_mps
0.0,0,0,0.0,31.100061060860753,121.02728543803096,-283.6,2.536
45.69396984924623,12,13,0.011835175879397183,31.100282275157657,121.02757547326355,685.6177961809045,2.5339881648241205
91.38793969849246,18,19,0.8878101555938319,31.10032019295823,121.02805206977233,907.8606260765583,2.5311121898444062
137.08190954773872,25,26,0.12661814507319485,31.10035234911928,121.02852827438903,972.6279126611319,2.528
182.77587939698492,31,32,0.5060562069607267,31.100403558845994,121.02900356886849,852.7195250325703,2.526
228.46984924623115,38,39,0.7671439273418998,31.10048725695028,121.02947293341364,635.4079880137707,2.523
274.16381909547744,46,47,0.710311995549445,31.100857500709445,121.02957111621004,645.9777471750768,2.5212896880044506
319.85778894472367,55,56,0.9141573500577954,31.10126767447485,121.02955560492907,324.87406541752637,2.52
365.55175879396984,74,75,0.43547193330995776,31.10168983216097,121.02947577140834,-228.63908690740533,2.522
411.2457286432161,87,88,0.4099867366572689,31.10185746539271,121.02916954811641,596.4176047523866,2.525
456.9396984924623,94,95,0.7783817044405699,31.10183311433957,121.02869051842224,813.9600246128601,2.526
502.6336683417086,101,102,0.6769689873314874,31.10180333620695,121.02821586112935,790.4634125319151,2.5266769689873314
548.3276381909549,108,109,0.6897131858121106,31.101781480834926,121.02773668380509,826.7376061594522,2.527
594.021608040201,115,116,0.29238488956410685,31.101751861861793,121.02725915848832,868.325289236882,2.527
639.7155778894473,121,122,0.8642866141291484,31.101721121327937,121.02678179694249,897.8357259836788,2.528
685.4095477386935,128,129,0.18973137941014015,31.101694337935648,121.02630206123816,960.6794285563946,2.528
731.1035175879397,133,134,0.9224650480123344,31.101661557443933,121.02582655413296,1058.1236541618985,2.527
776.797487437186,139,140,0.6324634608876635,31.101636310701046,121.02534791867002,1094.4220249915397,2.526
822.4914572864323,145,146,0.40581757515826633,31.101597424702216,121.0248715831609,973.291951053796,2.526
868.1854271356783,151,152,0.8871345363179386,31.10156928953749,121.02439461280589,942.9327489721333,2.526
913.8793969849246,157,158,0.7928077490374341,31.10155565695862,121.02391582185612,1061.1065007374866,2.527
959.5733668341709,163,164,0.4697366549729768,31.101527717125027,121.02344014125931,1107.1389494643026,2.526
1005.2673366834172,169,170,0.18674549216673178,31.101471199437274,121.02296554462926,1092.9277162281996,2.526
1050.9613065326635,174,175,0.7308362260179004,31.10145303351771,121.02248916555067,1131.0,2.527
