timestamp,elapsed_seconds,distance_m,latitude,longitude,altitude_m,speed_mps,source_elapsed_seconds,source_left_index,source_right_index,distance_ratio
2026-03-28T00:32:13+00:00,0.0,0.0,31.100061060860753,121.02728543803096,-283.6,3.8040000000000003,0.0,0,0,0.0
2026-03-28T00:32:14+00:00,1.0,2.915,31.100099910981953,121.02728233672678,-149.2,3.8055,1.5,1,2,0.5000000000000001
2026-03-28T00:32:15+00:00,2.0,6.67,31.100132977589965,121.02727512829006,-5.399999999999977,3.8055,3.0,3,4,0.0
2026-03-28T00:32:16+00:00,3.0,11.030000000000001,31.10017308499664,121.02727177552879,115.80000000000004,3.8055,4.5,4,5,0.5000000000000003
2026-03-28T00:32:17+00:00,4.0,16.23,31.10021931119263,121.0272868629545,224.0,3.8055,6.0,6,7,0.0
2026-03-28T00:32:18+00:00,5.0,21.965,31.100258915685117,121.0273304907605,360.3,3.8047500000000003,7.5,7,8,0.5
2026-03-28T00:32:19+00:00,6.0,29.13,31.10028075054288,121.02740001864731,502.20000000000005,3.8040000000000003,9.0,9,10,0.0
2026-03-28T00:32:20+00:00,7.0,37.004999999999995,31.10028196591884,121.02748371195048,624.4,3.80175,10.5,10,11,0.4999999999999994
2026-03-28T00:32:21+00:00,8.0,45.62,31.10028225928545,121.02757469750941,685.0,3.8009999999999997,12.0,12,13,0.0
2026-03-28T00:32:22+00:00,9.0,55.15,31.100285360589623,121.02767414879054,754.0,3.7995,13.5,13,14,0.5
2026-03-28T00:32:23+00:00,10.0,64.94,31.10029248520732,121.02777561172843,802.5999999999999,3.7995,15.0,15,16,0.0
2026-03-28T00:32:24+00:00,11.0,74.725,31.10030279494822,121.02787816431373,853.9,3.798,16.5,16,17,0.49999999999999895
2026-03-28T00:32:25+00:00,12.0,85.12,31.100313272327185,121.02798658423126,884.5999999999999,3.798,18.0,18,19,0.0
2026-03-28T00:32:26+00:00,13.0,95.75,31.10032534226775,121.02809760253876,915.5,3.7965,19.5,19,20,0.5
2026-03-28T00:32:27+00:00,14.0,106.74,31.100338082760572,121.02821163833141,933.2,3.795,21.0,21,22,0.0
2026-03-28T00:32:28+00:00,15.0,117.9,31.1003452911973,121.0283278953284,953.8,3.7935,22.5,22,23,0.5
2026-03-28T00:32:29+00:00,16.0,129.02,31.100347638130188,121.02844314649701,966.8,3.7935,24.0,24,25,0.0
2026-03-28T00:32:30+00:00,17.0,139.82999999999998,31.10035388264805,121.02855709847063,973.3000000000001,3.792,25.5,25,26,0.49999999999999806
2026-03-28T00:32:31+00:00,18.0,150.87,31.10035995952785,121.02867255918682,968.5999999999999,3.792,27.0,27,28,0.0
2026-03-28T00:32:32+00:00,19.0,161.75,31.100370562635362,121.02878651116043,940.6999999999999,3.7905,28.5,28,29,0.5
2026-03-28T00:32:33+00:00,20.0,172.67,31.10038929618895,121.02889778092504,897.8,3.7889999999999997,30.0,30,31,0.0
2026-03-28T00:32:34+00:00,21.0,182.735,31.100403503514826,121.0290031414479,852.9,3.7889999999999997,31.5,31,32,0.5
2026-03-28T00:32:35+00:00,22.0,192.84,31.100419806316495,121.02910799905658,808.2,3.7874999999999996,33.0,33,34,0.0
2026-03-28T00:32:36+00:00,23.0,202.66,31.100437911227345,121.02920791134238,751.3000000000001,3.7867499999999996,34.5,34,35,0.5
2026-03-28T00:32:37+00:00,24.0,212.09,31.100455010309815,121.02930396795273,701.8,3.786,36.0,36,37,0.0
2026-03-28T00:32:38+00:00,25.0,220.925,31.100466870702803,121.02939658798277,659.7999999999998,3.7845000000000004,37.5,37,38,0.5000000000000024
2026-03-28T00:32:39+00:00,26.0,229.86,31.100492058321834,121.02948669344187,632.8,3.7845000000000004,39.0,39,40,0.0
2026-03-28T00:32:40+00:00,27.0,238.46,31.100542056374252,121.02955714333802,598.1999999999999,3.78375,40.5,40,41,0.5
2026-03-28T00:32:41+00:00,28.0,246.93,31.10061259008944,121.02959255687892,604.8,3.7829999999999995,42.0,42,43,0.0
2026-03-28T00:32:42+00:00,29.0,255.67000000000002,31.100691547617316,121.02959209587425,647.7,3.7829999999999995,43.5,43,44,0.5000000000000026
2026-03-28T00:32:43+00:00,30.0,264.51,31.10077092424035,121.02958400733769,673.8,3.7829999999999995,45.0,45,46,0.0
2026-03-28T00:32:44+00:00,31.0,273.005,31.1008469061926,121.02957264985889,644.8,3.7822499999999994,46.5,46,47,0.5
2026-03-28T00:32:45+00:00,32.0,281.21,31.100922049954534,121.02957042865455,591.5999999999999,3.7815,48.0,48,49,0.0
2026-03-28T00:32:46+00:00,33.0,289.65999999999997,31.100998115725815,121.02956749498844,550.7000000000003,3.7800000000000002,49.5,49,50,0.4999999999999949
2026-03-28T00:32:47+00:00,34.0,297.78,31.10106999054551,121.02956489659846,492.79999999999995,3.7800000000000002,51.0,51,52,0.0
2026-03-28T00:32:48+00:00,35.0,304.95500000000004,31.10113465692848,121.02956326212734,439.59999999999974,3.7800000000000002,52.5,52,53,0.5000000000000061
2026-03-28T00:32:49+00:00,36.0,311.79,31.101196389645338,121.0295607894659,393.79999999999995,3.7800000000000002,54.0,54,55,0.0
2026-03-28T00:32:50+00:00,37.0,318.255,31.101253302767873,121.02955647278577,342.6,3.7800000000000002,55.5,55,56,0.5
2026-03-28T00:32:51+00:00,38.0,323.85,31.101304767653346,121.0295576043427,300.6,3.7800000000000002,57.0,57,58,0.0
2026-03-28T00:32:52+00:00,39.0,329.83500000000004,31.101360088214278,121.02955425158143,297.79999999999995,3.7807500000000003,58.5,58,59,0.5000000000000066
2026-03-28T00:32:53+00:00,40.0,335.88,31.10141532495618,121.02955400012434,272.6,3.7800000000000002,60.0,60,61,0.0
2026-03-28T00:32:54+00:00,41.0,341.735,31.10146821476519,121.02955186273903,170.89999999999856,3.7815,61.5,61,62,0.5000000000000083
2026-03-28T00:32:55+00:00,42.0,346.37,31.101508112624288,121.02954268455505,-55.80000000000001,3.7815,63.0,63,64,0.0
2026-03-28T00:32:56+00:00,43.0,349.655,31.101536443457007,121.02953891269863,-179.89999999999787,3.7822499999999994,64.5,64,65,0.4999999999999843
2026-03-28T00:32:57+00:00,44.0,351.44,31.10155270434916,121.02953639812768,-278.0,3.7829999999999995,66.0,66,67,0.0
2026-03-28T00:32:58+00:00,45.0,351.88,31.10158053226769,121.02952558547258,-149.2,3.7829999999999995,67.5,69,70,0.0
2026-03-28T00:32:59+00:00,46.0,351.88,31.10158053226769,121.02952558547258,-149.2,3.7824,69.0,69,70,0.0
2026-03-28T00:33:00+00:00,47.0,351.88,31.10158053226769,121.02952558547258,-149.2,3.7815,70.5,69,70,0.0
2026-03-28T00:33:01+00:00,48.0,351.88,31.10158053226769,121.02952558547258,-149.2,3.7805999999999997,72.0,69,70,0.0
2026-03-28T00:33:02+00:00,49.0,353.605,31.101595829240978,121.02952311281115,-110.89999999999938,3.7800000000000002,73.5,69,70,0.5000000000000082
2026-03-28T00:33:03+00:00,50.0,358.13,31.101636020466685,121.029516113922,-125.0,3.7815,75.0,71,72,0.0
2026-03-28T00:33:04+00:00,51.0,361.6,31.101664854213595,121.02950161322951,-220.10000000000036,3.7822499999999994,76.5,72,73,0.5000000000000124
2026-03-28T00:33:05+00:00,52.0,364.99,31.101685306057334,121.02948040701449,-242.39999999999998,3.7829999999999995,78.0,74,75,0.0
2026-03-28T00:33:06+00:00,53.0,367.17499999999995,31.101704752072692,121.02946888189763,-187.40000000000074,3.78375,79.5,75,76,0.4999999999999841
2026-03-28T00:33:07+00:00,54.0,370.73,31.10173643566668,121.02947428822517,-78.19999999999999,3.7845000000000004,81.0,77,78,0.0
2026-03-28T00:33:08+00:00,55.0,374.74,31.101771597750485,121.02947730571032,-2.6999999999993207,3.7845000000000004,82.5,78,79,0.5000000000000101
2026-03-28T00:33:09+00:00,56.0,378.8,31.101808603852987,121.02947294712067,82.20000000000005,3.7845000000000004,84.0,80,81,0.0
2026-03-28T00:33:10+00:00,57.0,384.03499999999997,31.101849381811917,121.02944331709296,211.89999999999935,3.7845000000000004,85.5,81,82,0.49999999999999245
2026-03-28T00:33:11+00:00,58.0,390.17,31.101877754554152,121.02939038537443,319.20000000000005,3.786,87.0,83,84,0.0
2026-03-28T00:33:12+00:00,59.0,396.255,31.101873982697725,121.02932546753436,427.40000000000003,3.7867499999999996,88.5,84,85,0.5
2026-03-28T00:33:13+00:00,60.0,403.7,31.101864762604237,121.02924789302051,532.0,3.7874999999999996,90.0,86,87,0.0
2026-03-28T00:33:14+00:00,61.0,411.73,31.101856967434287,121.02916449308395,599.1,3.7874999999999996,91.5,87,88,0.5
2026-03-28T00:33:15+00:00,62.0,420.23,31.101850848644972,121.02907505817711,660.8,3.7874999999999996,93.0,89,90,0.0
2026-03-28T00:33:16+00:00,63.0,429.6,31.101848166435957,121.0289780376479,714.8000000000001,3.7889999999999997,94.5,90,91,0.5000000000000046
2026-03-28T00:33:17+00:00,64.0,438.74,31.101842131465673,121.0288821067661,765.2,3.7889999999999997,96.0,92,93,0.0
2026-03-28T00:33:18+00:00,65.0,448.32500000000005,31.101836641319096,121.02878097910434,797.9000000000001,3.7889999999999997,97.5,93,94,0.5000000000000043
2026-03-28T00:33:19+00:00,66.0,458.46,31.101832408457994,121.02867465466261,815.5999999999999,3.7889999999999997,99.0,95,96,0.0
2026-03-28T00:33:20+00:00,67.0,468.6,31.101826457306743,121.02856870740652,823.0999999999998,3.7889999999999997,100.5,96,97,0.5000000000000041
2026-03-28T00:33:21+00:00,68.0,478.63,31.101817907765508,121.02846510708332,810.0,3.7889999999999997,102.0,98,99,0.0
2026-03-28T00:33:22+00:00,69.0,488.385,31.101809525862336,121.0283633088693,806.3000000000001,3.7889999999999997,103.5,99,100,0.5
2026-03-28T00:33:23+00:00,70.0,498.45,31.101802485063672,121.02825966663659,808.2,3.7889999999999997,105.0,101,102,0.0
2026-03-28T00:33:24+00:00,71.0,507.79499999999996,31.101805795915425,121.02816197555512,790.3999999999999,3.7905,106.5,102,103,0.4999999999999955
2026-03-28T00:33:25+00:00,72.0,517.18,31.101804915815592,121.0280636139214,810.0,3.7905,108.0,104,105,0.0
2026-03-28T00:33:26+00:00,73.0,526.7,31.101798629388213,121.02796236053109,841.8000000000003,3.7905,109.5,105,106,0.5000000000000088
2026-03-28T00:33:27+00:00,74.0,536.89,31.101790834218264,121.02785582654178,826.8,3.7905,111.0,107,108,0.0
2026-03-28T00:33:28+00:00,75.0,547.03,31.10178257804364,121.02775008883327,827.8,3.7905,112.5,108,109,0.4999999999999917
2026-03-28T00:33:29+00:00,76.0,556.96,31.101773818954825,121.02764594368637,825.0,3.7905,114.0,110,111,0.0
2026-03-28T00:33:30+00:00,77.0,567.05,31.101767071522772,121.02753940969706,821.1999999999999,3.7905,115.5,111,112,0.4999999999999917
2026-03-28T00:33:31+00:00,78.0,577.8,31.101760659366846,121.02742767892778,843.5999999999999,3.7905,117.0,113,114,0.0
2026-03-28T00:33:32+00:00,79.0,588.54,31.101755294948816,121.02731615770608,875.3000000000001,3.7905,118.5,114,115,0.4999999999999918
2026-03-28T00:33:33+00:00,80.0,598.89,31.101748421788216,121.02720874361694,860.4000000000001,3.7905,120.0,116,117,0.0
2026-03-28T00:33:34+00:00,81.0,608.89,31.101739704608917,121.02710392791778,865.0999999999999,3.7905,121.5,117,118,0.5
2026-03-28T00:33:35+00:00,82.0,619.03,31.101732831448317,121.02699726819992,886.5999999999999,3.792,123.0,119,120,0.0
2026-03-28T00:33:36+00:00,83.0,629.81,31.101726377382874,121.02688453160226,894.0000000000001,3.792,124.5,120,121,0.49999999999999234
2026-03-28T00:33:37+00:00,84.0,640.69,31.101720677688718,121.02677162736654,899.5999999999999,3.792,126.0,122,123,0.0
2026-03-28T00:33:38+00:00,85.0,651.375,31.1017137626186,121.02666048333049,923.8,3.792,127.5,123,124,0.5
2026-03-28T00:33:39+00:00,86.0,661.83,31.101706847548485,121.0265495069325,927.5999999999999,3.792,129.0,125,126,0.0
2026-03-28T00:33:40+00:00,87.0,672.87,31.101702572777867,121.02643392048776,940.6999999999999,3.792,130.5,126,127,0.5
2026-03-28T00:33:41+00:00,88.0,683.96,31.101695196703076,121.02631732821465,951.8,3.792,132.0,128,129,0.0
2026-03-28T00:33:42+00:00,89.0,695.54,31.10168807208538,121.0261953715235,1013.4999999999998,3.79125,133.5,129,130,0.4999999999999928
2026-03-28T00:33:43+00:00,90.0,707.49,31.101679857820272,121.02607022970915,1028.4,3.7905,135.0,131,132,0.0
2026-03-28T00:33:44+00:00,91.0,719.49,31.101670931093395,121.02594571653754,1021.8,3.7905,136.5,132,133,0.5
2026-03-28T00:33:45+00:00,92.0,731.73,31.101660998538136,121.02582011371851,1060.0,3.7905,138.0,134,135,0.0
2026-03-28T00:33:46+00:00,93.0,743.4200000000001,31.101657142862678,121.02569581009448,1089.0,3.7889999999999997,139.5,135,136,0.5000000000000073
2026-03-28T00:33:47+00:00,94.0,755.7,31.10165043734014,121.02556748315692,1071.2,3.7889999999999997,141.0,137,138,0.0
